2,1BM12IS029,"2015-04-27 22:17:32.931188",5,5,5,5,5
3,1BM13IS405,"2015-04-28 05:06:13.511171",5,5,5,5,4
4,1BM12IS098,"2015-04-28 05:09:55.790306",4,4,4,5,4
5,1BM13IS417,"2015-04-28 05:11:28.802839",5,4,5,5,4
6,1BM12IS048,"2015-04-28 05:33:34.021433",5,5,5,5,5
7,1BM12IS002,"2015-04-28 06:51:13.811609",5,5,5,5,5
8,1BM12IS058,"2015-04-28 06:54:38.563371",5,5,5,5,5
9,1BM12IS004,"2015-04-28 06:58:41.843393",5,5,4,3,4
10,1BM12IS061,"2015-04-28 07:06:34.850605",5,5,5,5,5
11,1BM12IS013,"2015-04-28 07:20:45.887385",5,5,5,5,5
12,1BM12IS053,"2015-04-28 07:35:46.654214",5,5,5,5,5
13,1BM12IS052,"2015-04-28 07:36:30.156779",2,2,2,2,2
14,1BM12IS042,"2015-04-28 07:44:20.572764",5,5,5,5,5
15,1BM12IS081,"2015-04-28 09:47:03.097444",4,5,4,5,4
16,1BM12IS079,"2015-04-28 09:49:26.639513",5,5,5,5,4
17,1BM12IS073,"2015-04-28 10:13:17.633848",4,5,3,5,5
18,1BM12IS041,"2015-04-29 04:21:43.878039",4,4,4,4,4
19,1BM12IS033,"2015-04-29 04:36:23.069415",5,5,5,5,5
20,1BM12IS094,"2015-04-29 04:41:43.113131",5,5,5,5,5
21,1BM12IS082,"2015-04-29 04:41:43.979280",5,5,5,5,5
22,1BM12IS096,"2015-04-29 05:09:52.985507",5,5,5,5,5
23,1BM12IS086,"2015-04-29 05:12:10.312581",5,5,5,5,5
24,1BM12IS088,"2015-04-29 05:23:22.162101",5,5,5,5,4
25,1BM12IS084,"2015-04-29 05:24:11.369041",5,4,5,4,5
26,1BM13IS402,"2015-04-29 07:13:17.473795",5,5,5,5,5
