1,1BM13IS004,"2015-04-28 04:18:49.726992",5,4,5,4,5,5,4,5,5
2,1BM13IS003,"2015-04-28 04:18:52.746802",3,4,2,3,3,3,3,3,2
3,1BM13IS007,"2015-04-28 04:22:59.263282",5,5,3,5,3,4,4,3,3
4,1BM13IS005,"2015-04-28 04:26:41.041852",3,3,3,3,3,3,3,3,3
5,1BM13IS034,"2015-04-28 04:31:07.563305",3,3,3,3,3,3,3,3,3
6,1BM13IS033,"2015-04-28 04:32:23.807059",5,5,5,5,5,5,5,5,5
7,1BM13IS044,"2015-04-28 04:40:05.411103",5,5,5,5,5,5,5,5,5
8,1BM13IS010,"2015-04-28 04:40:20.712190",5,5,4,5,4,4,4,4,3
9,1BM13IS031,"2015-04-28 04:42:33.213065",4,4,3,3,3,4,4,4,4
10,1BM13IS040,"2015-04-28 04:48:39.736799",5,5,3,4,3,4,4,4,2
11,1BM13IS038,"2015-04-28 04:48:47.145479",5,5,3,3,3,4,2,3,3
12,1BM13IS035,"2015-04-28 04:51:54.552174",4,4,2,3,2,4,3,4,3
13,1BM13IS012,"2015-04-28 04:57:24.649393",3,3,3,3,3,3,3,3,3
14,1BM13IS042,"2015-04-28 05:01:52.609733",5,4,3,3,3,1,5,4,2
15,1BM13IS043,"2015-04-28 05:02:28.175151",5,4,4,4,5,4,4,4,4
16,1BM13IS015,"2015-04-28 05:05:07.793079",1,1,1,1,2,1,2,2,2
17,1BM13IS011,"2015-04-28 05:08:25.269307",5,5,5,5,5,5,5,3,3
18,1BM13IS006,"2015-04-28 05:13:43.303625",4,4,4,4,4,4,4,4,4
19,1BM13IS001,"2015-04-28 05:17:00.231072",5,5,2,2,5,5,5,3,3
20,1BM13IS001,"2015-04-28 05:17:06.030453",5,5,2,2,5,5,5,3,3
21,1BM13IS001,"2015-04-28 05:17:06.115676",5,5,2,2,5,5,5,3,3
22,1BM13IS001,"2015-04-28 05:17:06.251426",5,5,2,2,5,5,5,3,3
23,1BM13IS001,"2015-04-28 05:17:06.337450",5,5,2,2,5,5,5,3,3
